,name,current_capacity,total_capacity,percent_capacity,date_time
0,Upper Track (4th Floor),0.0,100.0,0.0,1661150146.9604115
1,Faculty/Staff Workout Area ,1.0,100.0,1.0,1661150146.9604115
2,Upper Fitness ,0.0,100.0,0.0,1661150146.9604115
3,Upper Gym,2.0,350.0,1.0,1661150146.9604115
4,MP6,2.0,100.0,2.0,1661150146.9604115
5,MP7,0.0,100.0,0.0,1661150146.9604115
6,MAC Court,0.0,300.0,0.0,1661150146.9604115
7,West Mezzanine (3rd Floor),0.0,100.0,0.0,1661150146.9604115
8,Atrium Track (3rd Floor),0.0,100.0,0.0,1661150146.9604115
9,East Mezzanine (3rd Floor),0.0,100.0,0.0,1661150146.9604115
10,Mindfulness Room ,0.0,50.0,0.0,1661150146.9604115
11,Racquetball/Squash Courts ,36.0,200.0,18.0,1661150146.9604115
12,MP5,0.0,100.0,0.0,1661150146.9604115
13,Fitness Pavilion,6.0,100.0,6.0,1661150146.9604115
14,Fitness Loft,1.0,50.0,2.0,1661150146.9604115
15,Feature Gym,3.0,900.0,1.0,1661150146.9604115
16,B&G Gym 1-3,2.0,1000.0,1.0,1661150146.9604115
17,B&G Gym 4-6,12.0,1000.0,2.0,1661150146.9604115
18,Scifres ,4.0,200.0,2.0,1661150146.9604115
19,F45 Studio (MP1),,,,1661150146.9604115
20,MP2,0.0,100.0,0.0,1661150146.9604115
21,Climbing Wall ,,,,1661150146.9604115
22,Bouldering Wall,1.0,50.0,2.0,1661150146.9604115
23,East Fitness,10.0,200.0,5.0,1661150146.9604115
24,Olympic Lifting Room ,2.0,50.0,4.0,1661150146.9604115
25,Combative Arts Room,0.0,200.0,0.0,1661150146.9604115
26,MP4 (Table Tennis),0.0,300.0,0.0,1661150146.9604115
27,MP3,0.0,50.0,0.0,1661150146.9604115
28,Cycling Studio,,,,1661150146.9604115
29,Colby Fitness,32.0,300.0,11.0,1661150146.9604115
30,Lower Gym,0.0,250.0,0.0,1661150146.9604115
31,TREC,,,,1661150146.9604115
0,Upper Track (4th Floor),0.0,100.0,0.0,1661150177.2547398
1,Faculty/Staff Workout Area ,1.0,100.0,1.0,1661150177.2547398
2,Upper Fitness ,0.0,100.0,0.0,1661150177.2547398
3,Upper Gym,2.0,350.0,1.0,1661150177.2547398
4,MP6,2.0,100.0,2.0,1661150177.2547398
5,MP7,0.0,100.0,0.0,1661150177.2547398
6,MAC Court,0.0,300.0,0.0,1661150177.2547398
7,West Mezzanine (3rd Floor),0.0,100.0,0.0,1661150177.2547398
8,Atrium Track (3rd Floor),0.0,100.0,0.0,1661150177.2547398
9,East Mezzanine (3rd Floor),0.0,100.0,0.0,1661150177.2547398
10,Mindfulness Room ,0.0,50.0,0.0,1661150177.2547398
11,Racquetball/Squash Courts ,36.0,200.0,18.0,1661150177.2547398
12,MP5,0.0,100.0,0.0,1661150177.2547398
13,Fitness Pavilion,6.0,100.0,6.0,1661150177.2547398
14,Fitness Loft,1.0,50.0,2.0,1661150177.2547398
15,Feature Gym,3.0,900.0,1.0,1661150177.2547398
16,B&G Gym 1-3,2.0,1000.0,1.0,1661150177.2547398
17,B&G Gym 4-6,12.0,1000.0,2.0,1661150177.2547398
18,Scifres ,4.0,200.0,2.0,1661150177.2547398
19,F45 Studio (MP1),,,,1661150177.2547398
20,MP2,0.0,100.0,0.0,1661150177.2547398
21,Climbing Wall ,,,,1661150177.2547398
22,Bouldering Wall,1.0,50.0,2.0,1661150177.2547398
23,East Fitness,10.0,200.0,5.0,1661150177.2547398
24,Olympic Lifting Room ,2.0,50.0,4.0,1661150177.2547398
25,Combative Arts Room,0.0,200.0,0.0,1661150177.2547398
26,MP4 (Table Tennis),0.0,300.0,0.0,1661150177.2547398
27,MP3,0.0,50.0,0.0,1661150177.2547398
28,Cycling Studio,,,,1661150177.2547398
29,Colby Fitness,32.0,300.0,11.0,1661150177.2547398
30,Lower Gym,0.0,250.0,0.0,1661150177.2547398
31,TREC,,,,1661150177.2547398
