,name,current_capacity,total_capacity,percent_capacity,date_time
0,Upper Track (4th Floor),0.0,100.0,0.0,1635757507.5398767
1,Faculty/Staff Workout Area ,0.0,50.0,0.0,1635757507.5398767
2,Upper Fitness ,1.0,100.0,1.0,1635757507.5398767
3,Upper Gym,29.0,100.0,29.0,1635757507.5398767
4,MAC Court (Cardio),1.0,100.0,1.0,1635757507.5398767
5,MAC (badminton),0.0,50.0,0.0,1635757507.5398767
6,West Mezzanine (3rd Floor),2.0,100.0,2.0,1635757507.5398767
7,Atrium Track (3rd Floor),0.0,100.0,0.0,1635757507.5398767
8,East Mezzanine (3rd Floor),0.0,100.0,0.0,1635757507.5398767
9,Mindfulness Room ,0.0,50.0,0.0,1635757507.5398767
10,Racquetball/Squash Courts ,0.0,200.0,0.0,1635757507.5398767
11,Fitness Pavilion (strength),4.0,100.0,4.0,1635757507.5398767
12,Fitness Pavilion (cardio),0.0,100.0,0.0,1635757507.5398767
13,Fitness Loft,0.0,100.0,0.0,1635757507.5398767
14,Feature Gym,8.0,100.0,8.0,1635757507.5398767
15,B&G Gym 1-3,,,,1635757507.5398767
16,B&G Gym 4-6,14.0,300.0,5.0,1635757507.5398767
17,Scifres ,12.0,200.0,6.0,1635757507.5398767
18,Climbing Wall ,,,,1635757507.5398767
19,Bouldering Wall,2.0,20.0,10.0,1635757507.5398767
20,East Fitness (Strength Equipment),9.0,300.0,3.0,1635757507.5398767
21,Olympic Lifting Room ,0.0,50.0,0.0,1635757507.5398767
22,MP4 (Table Tennis),0.0,300.0,0.0,1635757507.5398767
23,MP3 (Strength Equipment),0.0,100.0,0.0,1635757507.5398767
24,Colby (Cardio),1.0,300.0,1.0,1635757507.5398767
25,Colby (Strength),47.0,300.0,16.0,1635757507.5398767
26,Lower Gym (Badminton & Pickleball),2.0,300.0,1.0,1635757507.5398767
27,TREC,,,,1635757507.5398767
0,Upper Track (4th Floor),0.0,100.0,0.0,1635761107.2835867
1,Faculty/Staff Workout Area ,0.0,50.0,0.0,1635761107.2835867
2,Upper Fitness ,1.0,100.0,1.0,1635761107.2835867
3,Upper Gym,29.0,100.0,29.0,1635761107.2835867
4,MAC Court (Cardio),1.0,100.0,1.0,1635761107.2835867
5,MAC (badminton),0.0,50.0,0.0,1635761107.2835867
6,West Mezzanine (3rd Floor),2.0,100.0,2.0,1635761107.2835867
7,Atrium Track (3rd Floor),0.0,100.0,0.0,1635761107.2835867
8,East Mezzanine (3rd Floor),0.0,100.0,0.0,1635761107.2835867
9,Mindfulness Room ,0.0,50.0,0.0,1635761107.2835867
10,Racquetball/Squash Courts ,0.0,200.0,0.0,1635761107.2835867
11,Fitness Pavilion (strength),4.0,100.0,4.0,1635761107.2835867
12,Fitness Pavilion (cardio),0.0,100.0,0.0,1635761107.2835867
13,Fitness Loft,0.0,100.0,0.0,1635761107.2835867
14,Feature Gym,8.0,100.0,8.0,1635761107.2835867
15,B&G Gym 1-3,,,,1635761107.2835867
16,B&G Gym 4-6,14.0,300.0,5.0,1635761107.2835867
17,Scifres ,12.0,200.0,6.0,1635761107.2835867
18,Climbing Wall ,,,,1635761107.2835867
19,Bouldering Wall,2.0,20.0,10.0,1635761107.2835867
20,East Fitness (Strength Equipment),9.0,300.0,3.0,1635761107.2835867
21,Olympic Lifting Room ,0.0,50.0,0.0,1635761107.2835867
22,MP4 (Table Tennis),0.0,300.0,0.0,1635761107.2835867
23,MP3 (Strength Equipment),0.0,100.0,0.0,1635761107.2835867
24,Colby (Cardio),1.0,300.0,1.0,1635761107.2835867
25,Colby (Strength),47.0,300.0,16.0,1635761107.2835867
26,Lower Gym (Badminton & Pickleball),2.0,300.0,1.0,1635761107.2835867
27,TREC,,,,1635761107.2835867
0,Upper Track (4th Floor),0.0,100.0,0.0,1635764707.4738863
1,Faculty/Staff Workout Area ,0.0,50.0,0.0,1635764707.4738863
2,Upper Fitness ,3.0,100.0,3.0,1635764707.4738863
3,Upper Gym,0.0,100.0,0.0,1635764707.4738863
4,MAC Court (Cardio),0.0,100.0,0.0,1635764707.4738863
5,MAC (badminton),0.0,50.0,0.0,1635764707.4738863
6,West Mezzanine (3rd Floor),3.0,100.0,3.0,1635764707.4738863
7,Atrium Track (3rd Floor),0.0,100.0,0.0,1635764707.4738863
8,East Mezzanine (3rd Floor),0.0,100.0,0.0,1635764707.4738863
9,Mindfulness Room ,0.0,50.0,0.0,1635764707.4738863
10,Racquetball/Squash Courts ,0.0,200.0,0.0,1635764707.4738863
11,Fitness Pavilion (strength),5.0,100.0,5.0,1635764707.4738863
12,Fitness Pavilion (cardio),3.0,100.0,3.0,1635764707.4738863
13,Fitness Loft,5.0,100.0,5.0,1635764707.4738863
14,Feature Gym,0.0,100.0,0.0,1635764707.4738863
15,B&G Gym 1-3,,,,1635764707.4738863
16,B&G Gym 4-6,0.0,300.0,0.0,1635764707.4738863
17,Scifres ,5.0,200.0,3.0,1635764707.4738863
18,Climbing Wall ,,,,1635764707.4738863
19,Bouldering Wall,0.0,20.0,0.0,1635764707.4738863
20,East Fitness (Strength Equipment),37.0,300.0,13.0,1635764707.4738863
21,Olympic Lifting Room ,0.0,50.0,0.0,1635764707.4738863
22,MP4 (Table Tennis),0.0,300.0,0.0,1635764707.4738863
23,MP3 (Strength Equipment),0.0,100.0,0.0,1635764707.4738863
24,Colby (Cardio),0.0,300.0,0.0,1635764707.4738863
25,Colby (Strength),30.0,300.0,10.0,1635764707.4738863
26,Lower Gym (Badminton & Pickleball),0.0,300.0,0.0,1635764707.4738863
27,TREC,,,,1635764707.4738863
0,Upper Track (4th Floor),0.0,100.0,0.0,1635768310.5923505
1,Faculty/Staff Workout Area ,0.0,50.0,0.0,1635768310.5923505
2,Upper Fitness ,9.0,100.0,9.0,1635768310.5923505
3,Upper Gym,1.0,100.0,1.0,1635768310.5923505
4,MAC Court (Cardio),0.0,100.0,0.0,1635768310.5923505
5,MAC (badminton),0.0,50.0,0.0,1635768310.5923505
6,West Mezzanine (3rd Floor),1.0,100.0,1.0,1635768310.5923505
7,Atrium Track (3rd Floor),0.0,100.0,0.0,1635768310.5923505
8,East Mezzanine (3rd Floor),0.0,100.0,0.0,1635768310.5923505
9,Mindfulness Room ,0.0,50.0,0.0,1635768310.5923505
10,Racquetball/Squash Courts ,0.0,200.0,0.0,1635768310.5923505
11,Fitness Pavilion (strength),8.0,100.0,8.0,1635768310.5923505
12,Fitness Pavilion (cardio),2.0,100.0,2.0,1635768310.5923505
13,Fitness Loft,4.0,100.0,4.0,1635768310.5923505
14,Feature Gym,0.0,100.0,0.0,1635768310.5923505
15,B&G Gym 1-3,,,,1635768310.5923505
16,B&G Gym 4-6,3.0,300.0,1.0,1635768310.5923505
17,Scifres ,16.0,200.0,8.0,1635768310.5923505
18,Climbing Wall ,,,,1635768310.5923505
19,Bouldering Wall,0.0,20.0,0.0,1635768310.5923505
20,East Fitness (Strength Equipment),40.0,300.0,14.0,1635768310.5923505
21,Olympic Lifting Room ,0.0,50.0,0.0,1635768310.5923505
22,MP4 (Table Tennis),0.0,300.0,0.0,1635768310.5923505
23,MP3 (Strength Equipment),7.0,100.0,8.0,1635768310.5923505
24,Colby (Cardio),2.0,300.0,1.0,1635768310.5923505
25,Colby (Strength),50.0,300.0,17.0,1635768310.5923505
26,Lower Gym (Badminton & Pickleball),0.0,300.0,0.0,1635768310.5923505
27,TREC,,,,1635768310.5923505
0,Upper Track (4th Floor),0.0,100.0,0.0,1635771907.798438
1,Faculty/Staff Workout Area ,2.0,50.0,4.0,1635771907.798438
2,Upper Fitness ,10.0,100.0,10.0,1635771907.798438
3,Upper Gym,0.0,100.0,0.0,1635771907.798438
4,MAC Court (Cardio),2.0,100.0,2.0,1635771907.798438
5,MAC (badminton),0.0,50.0,0.0,1635771907.798438
6,West Mezzanine (3rd Floor),3.0,100.0,3.0,1635771907.798438
7,Atrium Track (3rd Floor),1.0,100.0,1.0,1635771907.798438
8,East Mezzanine (3rd Floor),2.0,100.0,2.0,1635771907.798438
9,Mindfulness Room ,2.0,50.0,4.0,1635771907.798438
10,Racquetball/Squash Courts ,0.0,200.0,0.0,1635771907.798438
11,Fitness Pavilion (strength),7.0,100.0,8.0,1635771907.798438
12,Fitness Pavilion (cardio),5.0,100.0,5.0,1635771907.798438
13,Fitness Loft,7.0,100.0,8.0,1635771907.798438
14,Feature Gym,1.0,100.0,1.0,1635771907.798438
15,B&G Gym 1-3,,,,1635771907.798438
16,B&G Gym 4-6,2.0,300.0,1.0,1635771907.798438
17,Scifres ,21.0,200.0,11.0,1635771907.798438
18,Climbing Wall ,,,,1635771907.798438
19,Bouldering Wall,0.0,20.0,0.0,1635771907.798438
20,East Fitness (Strength Equipment),49.0,300.0,17.0,1635771907.798438
21,Olympic Lifting Room ,3.0,50.0,6.0,1635771907.798438
22,MP4 (Table Tennis),0.0,300.0,0.0,1635771907.798438
23,MP3 (Strength Equipment),1.0,100.0,1.0,1635771907.798438
24,Colby (Cardio),4.0,300.0,2.0,1635771907.798438
25,Colby (Strength),54.0,300.0,18.0,1635771907.798438
26,Lower Gym (Badminton & Pickleball),2.0,300.0,1.0,1635771907.798438
27,TREC,,,,1635771907.798438
0,Upper Track (4th Floor),0.0,100.0,0.0,1635775506.9302845
1,Faculty/Staff Workout Area ,0.0,50.0,0.0,1635775506.9302845
2,Upper Fitness ,9.0,100.0,9.0,1635775506.9302845
3,Upper Gym,0.0,100.0,0.0,1635775506.9302845
4,MAC Court (Cardio),0.0,100.0,0.0,1635775506.9302845
5,MAC (badminton),0.0,50.0,0.0,1635775506.9302845
6,West Mezzanine (3rd Floor),0.0,100.0,0.0,1635775506.9302845
7,Atrium Track (3rd Floor),2.0,100.0,2.0,1635775506.9302845
8,East Mezzanine (3rd Floor),0.0,100.0,0.0,1635775506.9302845
9,Mindfulness Room ,0.0,50.0,0.0,1635775506.9302845
10,Racquetball/Squash Courts ,0.0,200.0,0.0,1635775506.9302845
11,Fitness Pavilion (strength),6.0,100.0,6.0,1635775506.9302845
12,Fitness Pavilion (cardio),6.0,100.0,6.0,1635775506.9302845
13,Fitness Loft,5.0,100.0,5.0,1635775506.9302845
14,Feature Gym,0.0,100.0,0.0,1635775506.9302845
15,B&G Gym 1-3,,,,1635775506.9302845
16,B&G Gym 4-6,0.0,300.0,0.0,1635775506.9302845
17,Scifres ,16.0,200.0,8.0,1635775506.9302845
18,Climbing Wall ,,,,1635775506.9302845
19,Bouldering Wall,1.0,20.0,5.0,1635775506.9302845
20,East Fitness (Strength Equipment),29.0,300.0,10.0,1635775506.9302845
21,Olympic Lifting Room ,0.0,50.0,0.0,1635775506.9302845
22,MP4 (Table Tennis),0.0,300.0,0.0,1635775506.9302845
23,MP3 (Strength Equipment),1.0,100.0,1.0,1635775506.9302845
24,Colby (Cardio),1.0,300.0,1.0,1635775506.9302845
25,Colby (Strength),60.0,300.0,20.0,1635775506.9302845
26,Lower Gym (Badminton & Pickleball),3.0,300.0,1.0,1635775506.9302845
27,TREC,,,,1635775506.9302845
0,Upper Track (4th Floor),0.0,100.0,0.0,1635779106.7301362
1,Faculty/Staff Workout Area ,0.0,50.0,0.0,1635779106.7301362
2,Upper Fitness ,9.0,100.0,9.0,1635779106.7301362
3,Upper Gym,0.0,100.0,0.0,1635779106.7301362
4,MAC Court (Cardio),0.0,100.0,0.0,1635779106.7301362
5,MAC (badminton),0.0,50.0,0.0,1635779106.7301362
6,West Mezzanine (3rd Floor),0.0,100.0,0.0,1635779106.7301362
7,Atrium Track (3rd Floor),2.0,100.0,2.0,1635779106.7301362
8,East Mezzanine (3rd Floor),0.0,100.0,0.0,1635779106.7301362
9,Mindfulness Room ,0.0,50.0,0.0,1635779106.7301362
10,Racquetball/Squash Courts ,0.0,200.0,0.0,1635779106.7301362
11,Fitness Pavilion (strength),6.0,100.0,6.0,1635779106.7301362
12,Fitness Pavilion (cardio),6.0,100.0,6.0,1635779106.7301362
13,Fitness Loft,5.0,100.0,5.0,1635779106.7301362
14,Feature Gym,0.0,100.0,0.0,1635779106.7301362
15,B&G Gym 1-3,,,,1635779106.7301362
16,B&G Gym 4-6,0.0,300.0,0.0,1635779106.7301362
17,Scifres ,16.0,200.0,8.0,1635779106.7301362
18,Climbing Wall ,,,,1635779106.7301362
19,Bouldering Wall,1.0,20.0,5.0,1635779106.7301362
20,East Fitness (Strength Equipment),29.0,300.0,10.0,1635779106.7301362
21,Olympic Lifting Room ,0.0,50.0,0.0,1635779106.7301362
22,MP4 (Table Tennis),0.0,300.0,0.0,1635779106.7301362
23,MP3 (Strength Equipment),1.0,100.0,1.0,1635779106.7301362
24,Colby (Cardio),1.0,300.0,1.0,1635779106.7301362
25,Colby (Strength),60.0,300.0,20.0,1635779106.7301362
26,Lower Gym (Badminton & Pickleball),3.0,300.0,1.0,1635779106.7301362
27,TREC,,,,1635779106.7301362
0,Upper Track (4th Floor),0.0,100.0,0.0,1635782706.8947568
1,Faculty/Staff Workout Area ,0.0,50.0,0.0,1635782706.8947568
2,Upper Fitness ,10.0,100.0,10.0,1635782706.8947568
3,Upper Gym,1.0,100.0,1.0,1635782706.8947568
4,MAC Court (Cardio),2.0,100.0,2.0,1635782706.8947568
5,MAC (badminton),0.0,50.0,0.0,1635782706.8947568
6,West Mezzanine (3rd Floor),3.0,100.0,3.0,1635782706.8947568
7,Atrium Track (3rd Floor),2.0,100.0,2.0,1635782706.8947568
8,East Mezzanine (3rd Floor),0.0,100.0,0.0,1635782706.8947568
9,Mindfulness Room ,0.0,50.0,0.0,1635782706.8947568
10,Racquetball/Squash Courts ,2.0,200.0,1.0,1635782706.8947568
11,Fitness Pavilion (strength),11.0,100.0,11.0,1635782706.8947568
12,Fitness Pavilion (cardio),4.0,100.0,4.0,1635782706.8947568
13,Fitness Loft,7.0,100.0,8.0,1635782706.8947568
14,Feature Gym,0.0,100.0,0.0,1635782706.8947568
15,B&G Gym 1-3,,,,1635782706.8947568
16,B&G Gym 4-6,3.0,300.0,1.0,1635782706.8947568
17,Scifres ,23.0,200.0,12.0,1635782706.8947568
18,Climbing Wall ,,,,1635782706.8947568
19,Bouldering Wall,2.0,20.0,10.0,1635782706.8947568
20,East Fitness (Strength Equipment),41.0,300.0,14.0,1635782706.8947568
21,Olympic Lifting Room ,8.0,50.0,16.0,1635782706.8947568
22,MP4 (Table Tennis),0.0,300.0,0.0,1635782706.8947568
23,MP3 (Strength Equipment),1.0,100.0,1.0,1635782706.8947568
24,Colby (Cardio),6.0,300.0,2.0,1635782706.8947568
25,Colby (Strength),58.0,300.0,20.0,1635782706.8947568
26,Lower Gym (Badminton & Pickleball),4.0,300.0,2.0,1635782706.8947568
27,TREC,,,,1635782706.8947568
0,Upper Track (4th Floor),0.0,100.0,0.0,1635786306.7789872
1,Faculty/Staff Workout Area ,3.0,50.0,6.0,1635786306.7789872
2,Upper Fitness ,10.0,100.0,10.0,1635786306.7789872
3,Upper Gym,4.0,100.0,4.0,1635786306.7789872
4,MAC Court (Cardio),1.0,100.0,1.0,1635786306.7789872
5,MAC (badminton),0.0,50.0,0.0,1635786306.7789872
6,West Mezzanine (3rd Floor),2.0,100.0,2.0,1635786306.7789872
7,Atrium Track (3rd Floor),1.0,100.0,1.0,1635786306.7789872
8,East Mezzanine (3rd Floor),1.0,100.0,1.0,1635786306.7789872
9,Mindfulness Room ,1.0,50.0,2.0,1635786306.7789872
10,Racquetball/Squash Courts ,0.0,200.0,0.0,1635786306.7789872
11,Fitness Pavilion (strength),9.0,100.0,9.0,1635786306.7789872
12,Fitness Pavilion (cardio),3.0,100.0,3.0,1635786306.7789872
13,Fitness Loft,6.0,100.0,6.0,1635786306.7789872
14,Feature Gym,3.0,100.0,3.0,1635786306.7789872
15,B&G Gym 1-3,,,,1635786306.7789872
16,B&G Gym 4-6,4.0,300.0,2.0,1635786306.7789872
17,Scifres ,24.0,200.0,12.0,1635786306.7789872
18,Climbing Wall ,,,,1635786306.7789872
19,Bouldering Wall,0.0,20.0,0.0,1635786306.7789872
20,East Fitness (Strength Equipment),35.0,300.0,12.0,1635786306.7789872
21,Olympic Lifting Room ,3.0,50.0,6.0,1635786306.7789872
22,MP4 (Table Tennis),0.0,300.0,0.0,1635786306.7789872
23,MP3 (Strength Equipment),4.0,100.0,4.0,1635786306.7789872
24,Colby (Cardio),1.0,300.0,1.0,1635786306.7789872
25,Colby (Strength),57.0,300.0,19.0,1635786306.7789872
26,Lower Gym (Badminton & Pickleball),2.0,300.0,1.0,1635786306.7789872
27,TREC,,,,1635786306.7789872
0,Upper Track (4th Floor),1.0,100.0,1.0,1635789906.7335808
1,Faculty/Staff Workout Area ,2.0,50.0,4.0,1635789906.7335808
2,Upper Fitness ,5.0,100.0,5.0,1635789906.7335808
3,Upper Gym,3.0,100.0,3.0,1635789906.7335808
4,MAC Court (Cardio),0.0,100.0,0.0,1635789906.7335808
5,MAC (badminton),0.0,50.0,0.0,1635789906.7335808
6,West Mezzanine (3rd Floor),4.0,100.0,4.0,1635789906.7335808
7,Atrium Track (3rd Floor),1.0,100.0,1.0,1635789906.7335808
8,East Mezzanine (3rd Floor),1.0,100.0,1.0,1635789906.7335808
9,Mindfulness Room ,0.0,50.0,0.0,1635789906.7335808
10,Racquetball/Squash Courts ,0.0,200.0,0.0,1635789906.7335808
11,Fitness Pavilion (strength),8.0,100.0,8.0,1635789906.7335808
12,Fitness Pavilion (cardio),2.0,100.0,2.0,1635789906.7335808
13,Fitness Loft,3.0,100.0,3.0,1635789906.7335808
14,Feature Gym,1.0,100.0,1.0,1635789906.7335808
15,B&G Gym 1-3,,,,1635789906.7335808
16,B&G Gym 4-6,5.0,300.0,2.0,1635789906.7335808
17,Scifres ,23.0,200.0,12.0,1635789906.7335808
18,Climbing Wall ,,,,1635789906.7335808
19,Bouldering Wall,0.0,20.0,0.0,1635789906.7335808
20,East Fitness (Strength Equipment),37.0,300.0,13.0,1635789906.7335808
21,Olympic Lifting Room ,3.0,50.0,6.0,1635789906.7335808
22,MP4 (Table Tennis),0.0,300.0,0.0,1635789906.7335808
23,MP3 (Strength Equipment),2.0,100.0,2.0,1635789906.7335808
24,Colby (Cardio),6.0,300.0,2.0,1635789906.7335808
25,Colby (Strength),60.0,300.0,20.0,1635789906.7335808
26,Lower Gym (Badminton & Pickleball),2.0,300.0,1.0,1635789906.7335808
27,TREC,,,,1635789906.7335808
0,Upper Track (4th Floor),1.0,100.0,1.0,1635793507.2575548
1,Faculty/Staff Workout Area ,0.0,50.0,0.0,1635793507.2575548
2,Upper Fitness ,5.0,100.0,5.0,1635793507.2575548
3,Upper Gym,5.0,100.0,5.0,1635793507.2575548
4,MAC Court (Cardio),1.0,100.0,1.0,1635793507.2575548
5,MAC (badminton),0.0,50.0,0.0,1635793507.2575548
6,West Mezzanine (3rd Floor),2.0,100.0,2.0,1635793507.2575548
7,Atrium Track (3rd Floor),0.0,100.0,0.0,1635793507.2575548
8,East Mezzanine (3rd Floor),0.0,100.0,0.0,1635793507.2575548
9,Mindfulness Room ,0.0,50.0,0.0,1635793507.2575548
10,Racquetball/Squash Courts ,0.0,200.0,0.0,1635793507.2575548
11,Fitness Pavilion (strength),8.0,100.0,8.0,1635793507.2575548
12,Fitness Pavilion (cardio),8.0,100.0,8.0,1635793507.2575548
13,Fitness Loft,7.0,100.0,8.0,1635793507.2575548
14,Feature Gym,1.0,100.0,1.0,1635793507.2575548
15,B&G Gym 1-3,,,,1635793507.2575548
16,B&G Gym 4-6,6.0,300.0,2.0,1635793507.2575548
17,Scifres ,18.0,200.0,9.0,1635793507.2575548
18,Climbing Wall ,,,,1635793507.2575548
19,Bouldering Wall,1.0,20.0,5.0,1635793507.2575548
20,East Fitness (Strength Equipment),54.0,300.0,18.0,1635793507.2575548
21,Olympic Lifting Room ,6.0,50.0,12.0,1635793507.2575548
22,MP4 (Table Tennis),0.0,300.0,0.0,1635793507.2575548
23,MP3 (Strength Equipment),1.0,100.0,1.0,1635793507.2575548
24,Colby (Cardio),5.0,300.0,2.0,1635793507.2575548
25,Colby (Strength),86.0,300.0,29.0,1635793507.2575548
26,Lower Gym (Badminton & Pickleball),0.0,300.0,0.0,1635793507.2575548
27,TREC,,,,1635793507.2575548
0,Upper Track (4th Floor),0.0,100.0,0.0,1635797108.3737586
1,Faculty/Staff Workout Area ,0.0,50.0,0.0,1635797108.3737586
2,Upper Fitness ,7.0,100.0,8.0,1635797108.3737586
3,Upper Gym,3.0,100.0,3.0,1635797108.3737586
4,MAC Court (Cardio),1.0,100.0,1.0,1635797108.3737586
5,MAC (badminton),2.0,50.0,4.0,1635797108.3737586
6,West Mezzanine (3rd Floor),4.0,100.0,4.0,1635797108.3737586
7,Atrium Track (3rd Floor),1.0,100.0,1.0,1635797108.3737586
8,East Mezzanine (3rd Floor),1.0,100.0,1.0,1635797108.3737586
9,Mindfulness Room ,0.0,50.0,0.0,1635797108.3737586
10,Racquetball/Squash Courts ,1.0,200.0,1.0,1635797108.3737586
11,Fitness Pavilion (strength),12.0,100.0,12.0,1635797108.3737586
12,Fitness Pavilion (cardio),8.0,100.0,8.0,1635797108.3737586
13,Fitness Loft,8.0,100.0,8.0,1635797108.3737586
14,Feature Gym,3.0,100.0,3.0,1635797108.3737586
15,B&G Gym 1-3,,,,1635797108.3737586
16,B&G Gym 4-6,15.0,300.0,5.0,1635797108.3737586
17,Scifres ,28.0,200.0,15.0,1635797108.3737586
18,Climbing Wall ,,,,1635797108.3737586
19,Bouldering Wall,6.0,20.0,30.0,1635797108.3737586
20,East Fitness (Strength Equipment),50.0,300.0,17.0,1635797108.3737586
21,Olympic Lifting Room ,8.0,50.0,16.0,1635797108.3737586
22,MP4 (Table Tennis),0.0,300.0,0.0,1635797108.3737586
23,MP3 (Strength Equipment),5.0,100.0,5.0,1635797108.3737586
24,Colby (Cardio),6.0,300.0,2.0,1635797108.3737586
25,Colby (Strength),90.0,300.0,30.0,1635797108.3737586
26,Lower Gym (Badminton & Pickleball),2.0,300.0,1.0,1635797108.3737586
27,TREC,,,,1635797108.3737586
0,Upper Track (4th Floor),0.0,100.0,0.0,1635800707.387732
1,Faculty/Staff Workout Area ,1.0,50.0,2.0,1635800707.387732
2,Upper Fitness ,14.0,100.0,15.0,1635800707.387732
3,Upper Gym,9.0,100.0,9.0,1635800707.387732
4,MAC Court (Cardio),3.0,100.0,3.0,1635800707.387732
5,MAC (badminton),2.0,50.0,4.0,1635800707.387732
6,West Mezzanine (3rd Floor),8.0,100.0,8.0,1635800707.387732
7,Atrium Track (3rd Floor),3.0,100.0,3.0,1635800707.387732
8,East Mezzanine (3rd Floor),1.0,100.0,1.0,1635800707.387732
9,Mindfulness Room ,1.0,50.0,2.0,1635800707.387732
10,Racquetball/Squash Courts ,0.0,200.0,0.0,1635800707.387732
11,Fitness Pavilion (strength),22.0,100.0,22.0,1635800707.387732
12,Fitness Pavilion (cardio),6.0,100.0,6.0,1635800707.387732
13,Fitness Loft,11.0,100.0,11.0,1635800707.387732
14,Feature Gym,1.0,100.0,1.0,1635800707.387732
15,B&G Gym 1-3,,,,1635800707.387732
16,B&G Gym 4-6,20.0,300.0,7.0,1635800707.387732
17,Scifres ,26.0,200.0,13.0,1635800707.387732
18,Climbing Wall ,5.0,20.0,25.0,1635800707.387732
19,Bouldering Wall,5.0,20.0,25.0,1635800707.387732
20,East Fitness (Strength Equipment),57.0,300.0,19.0,1635800707.387732
21,Olympic Lifting Room ,8.0,50.0,16.0,1635800707.387732
22,MP4 (Table Tennis),0.0,300.0,0.0,1635800707.387732
23,MP3 (Strength Equipment),3.0,100.0,3.0,1635800707.387732
24,Colby (Cardio),4.0,300.0,2.0,1635800707.387732
25,Colby (Strength),104.0,300.0,35.0,1635800707.387732
26,Lower Gym (Badminton & Pickleball),3.0,300.0,1.0,1635800707.387732
27,TREC,,,,1635800707.387732
0,Upper Track (4th Floor),1.0,100.0,1.0,1635804307.229136
1,Faculty/Staff Workout Area ,1.0,50.0,2.0,1635804307.229136
2,Upper Fitness ,20.0,100.0,20.0,1635804307.229136
3,Upper Gym,18.0,100.0,18.0,1635804307.229136
4,MAC Court (Cardio),3.0,100.0,3.0,1635804307.229136
5,MAC (badminton),0.0,50.0,0.0,1635804307.229136
6,West Mezzanine (3rd Floor),8.0,100.0,8.0,1635804307.229136
7,Atrium Track (3rd Floor),8.0,100.0,8.0,1635804307.229136
8,East Mezzanine (3rd Floor),4.0,100.0,4.0,1635804307.229136
9,Mindfulness Room ,3.0,50.0,6.0,1635804307.229136
10,Racquetball/Squash Courts ,1.0,200.0,1.0,1635804307.229136
11,Fitness Pavilion (strength),21.0,100.0,21.0,1635804307.229136
12,Fitness Pavilion (cardio),10.0,100.0,10.0,1635804307.229136
13,Fitness Loft,7.0,100.0,8.0,1635804307.229136
14,Feature Gym,1.0,100.0,1.0,1635804307.229136
15,B&G Gym 1-3,,,,1635804307.229136
16,B&G Gym 4-6,17.0,300.0,6.0,1635804307.229136
17,Scifres ,29.0,200.0,15.0,1635804307.229136
18,Climbing Wall ,10.0,20.0,50.0,1635804307.229136
19,Bouldering Wall,4.0,20.0,20.0,1635804307.229136
20,East Fitness (Strength Equipment),77.0,300.0,26.0,1635804307.229136
21,Olympic Lifting Room ,8.0,50.0,16.0,1635804307.229136
22,MP4 (Table Tennis),3.0,300.0,1.0,1635804307.229136
23,MP3 (Strength Equipment),5.0,100.0,5.0,1635804307.229136
24,Colby (Cardio),7.0,300.0,3.0,1635804307.229136
25,Colby (Strength),131.0,300.0,44.0,1635804307.229136
26,Lower Gym (Badminton & Pickleball),4.0,300.0,2.0,1635804307.229136
27,TREC,,,,1635804307.229136
0,Upper Track (4th Floor),1.0,100.0,1.0,1635807907.3537042
1,Faculty/Staff Workout Area ,0.0,50.0,0.0,1635807907.3537042
2,Upper Fitness ,10.0,100.0,10.0,1635807907.3537042
3,Upper Gym,55.0,100.0,56.0,1635807907.3537042
4,MAC Court (Cardio),4.0,100.0,4.0,1635807907.3537042
5,MAC (badminton),0.0,50.0,0.0,1635807907.3537042
6,West Mezzanine (3rd Floor),8.0,100.0,8.0,1635807907.3537042
7,Atrium Track (3rd Floor),2.0,100.0,2.0,1635807907.3537042
8,East Mezzanine (3rd Floor),1.0,100.0,1.0,1635807907.3537042
9,Mindfulness Room ,0.0,50.0,0.0,1635807907.3537042
10,Racquetball/Squash Courts ,10.0,200.0,5.0,1635807907.3537042
11,Fitness Pavilion (strength),19.0,100.0,19.0,1635807907.3537042
12,Fitness Pavilion (cardio),10.0,100.0,10.0,1635807907.3537042
13,Fitness Loft,7.0,100.0,8.0,1635807907.3537042
14,Feature Gym,7.0,100.0,8.0,1635807907.3537042
15,B&G Gym 1-3,,,,1635807907.3537042
16,B&G Gym 4-6,49.0,300.0,17.0,1635807907.3537042
17,Scifres ,26.0,200.0,13.0,1635807907.3537042
18,Climbing Wall ,8.0,20.0,40.0,1635807907.3537042
19,Bouldering Wall,6.0,20.0,30.0,1635807907.3537042
20,East Fitness (Strength Equipment),64.0,300.0,22.0,1635807907.3537042
21,Olympic Lifting Room ,8.0,50.0,16.0,1635807907.3537042
22,MP4 (Table Tennis),5.0,300.0,2.0,1635807907.3537042
23,MP3 (Strength Equipment),9.0,100.0,9.0,1635807907.3537042
24,Colby (Cardio),8.0,300.0,3.0,1635807907.3537042
25,Colby (Strength),103.0,300.0,35.0,1635807907.3537042
26,Lower Gym (Badminton & Pickleball),19.0,300.0,7.0,1635807907.3537042
27,TREC,,,,1635807907.3537042
0,Upper Track (4th Floor),0.0,100.0,0.0,1635811507.0948498
1,Faculty/Staff Workout Area ,2.0,50.0,4.0,1635811507.0948498
2,Upper Fitness ,9.0,100.0,9.0,1635811507.0948498
3,Upper Gym,57.0,100.0,57.0,1635811507.0948498
